window_size,dp_x,dp_xy,J
1,-1.4,-0.3333333333333333,1.5687261654754692
1,-1.4,-0.3,1.4969006595139278
1,-1.4,-0.26666666666666666,1.4255750758392995
1,-1.4,-0.23333333333333334,1.354836123178306
1,-1.4,-0.2,1.2847765664065838
1,-1.4,-0.16666666666666666,1.2154956259998344
1,-1.4,-0.13333333333333333,1.1470994051008983
1,-1.4,-0.1,1.0797013462669558
1,-1.4,-0.06666666666666667,1.0134227201298567
1,-1.4,-0.03333333333333333,0.9483931483864713
1,-1.4,0.0,0.8847511637365343
1,-1.4,0.03333333333333333,0.8226448096043228
1,-1.4,0.06666666666666667,0.7622322827194278
1,-1.4,0.1,0.7036826218930691
1,-1.4,0.13333333333333333,0.6471764466118974
1,-1.4,0.16666666666666666,0.5929067493836969
1,-1.4,0.2,0.5410797461115457
1,-1.4,0.23333333333333334,0.49191578914799183
1,-1.4,0.26666666666666666,0.4456503480920137
1,-1.4,0.3,0.40253506384294435
1,-1.4,0.3333333333333333,0.3628388819213661
1,-1.4,0.36666666666666664,0.32684927161206956
1,-1.4,0.4,0.29487353808397554
1,-1.4,0.43333333333333335,0.2672402353023759
1,-1.4,0.4666666666666667,0.24430068827777832
1,-1.4,0.5,0.2264421864440171
1,-1.4,0.5333333333333333,0.21430976902659932
1,-1.4,0.5666666666666667,0.20809032619817608
1,-1.4,0.6,0.2082324702945657
1,-1.4,0.6333333333333333,0.21522874861231694
1,-1.4,0.6666666666666666,0.22960650003171862
1,-1.4,0.7,0.2519304611411707
1,-1.4,0.7333333333333333,0.28280558735981187
1,-1.4,0.7666666666666667,0.32288010882321144
1,-1.4,0.8,0.3728488428264691
1,-1.4,0.8333333333333334,0.43345678687931016
1,-1.4,0.8666666666666667,0.5055030189490418
1,-1.4,0.9,0.589844934282863
1,-1.4,0.9333333333333333,0.6874028513491686
1,-1.4,0.9666666666666667,0.7991650229615503
1,-1.4,1.0,0.9261930925991192
1,-1.35,-1.0,2.9571732012897542
1,-1.35,-0.9666666666666667,2.886705609794146
1,-1.35,-0.9333333333333333,2.815855941028188
1,-1.35,-0.9,2.7446452680407933
1,-1.35,-0.8666666666666667,2.6730964499139307
1,-1.35,-0.8333333333333334,2.6012342464334397
1,-1.35,-0.8,2.5290854400624614
1,-1.35,-0.7666666666666667,2.456678965706675
1,-1.35,-0.7333333333333333,2.3840460487959936
1,-1.35,-0.7,2.311220352245218
1,-1.35,-0.6666666666666666,2.2382381328972296
1,-1.35,-0.6333333333333333,2.1651384080964142
1,-1.35,-0.6,2.0919631330878388
1,-1.35,-0.5666666666666667,2.0187573899891764
1,-1.35,-0.5333333333333333,1.9455695891381768
1,-1.35,-0.5,1.8724516836786314
1,-1.35,-0.4666666666666667,1.7994593983130238
1,-1.35,-0.43333333333333335,1.726652473220515
1,-1.35,-0.4,1.6540949242153693
1,-1.35,-0.36666666666666664,1.5818553203035703
1,-1.35,-0.3333333333333333,1.5100070798851608
1,-1.35,-0.3,1.4386287869471406
1,-1.35,-0.26666666666666666,1.3678045286972467
1,-1.35,-0.23333333333333334,1.2976242562037605
1,-1.35,-0.2,1.228184169730955
1,-1.35,-0.16666666666666666,1.1595871305953036
1,-1.35,-0.13333333333333333,1.0919431015149461
1,-1.35,-0.1,1.0253696175852678
1,-1.35,-0.06666666666666667,0.9599922901882265
1,-1.35,-0.03333333333333333,0.8959453463334682
1,-1.35,0.0,0.833372206136992
