param,window_size,window,t,v,w,is_node
wrong,25,1,12.0,-1.221652491586549,-0.2493374379685431,false
wrong,25,1,12.1,-1.2141664899965883,-0.25225631637780577,false
wrong,25,1,12.2,-1.2066384126528422,-0.2550849807084743,false
wrong,25,1,12.3,-1.1990662905169056,-0.2578236978630633,false
wrong,25,1,12.4,-1.191448052262365,-0.2604727142738976,false
wrong,25,1,12.5,-1.1837815174347257,-0.26303225508463823,false
wrong,25,1,12.6,-1.1760643890625428,-0.26550252327263135,false
wrong,25,1,12.7,-1.1682942456685557,-0.2678836987072531,false
wrong,25,1,12.8,-1.1604685326241924,-0.2701759371389642,false
wrong,25,1,12.9,-1.1525845527847287,-0.2723793691132804,false
wrong,25,1,13.0,-1.1446394563355649,-0.274494098803303,false
wrong,25,1,13.1,-1.1366302297724473,-0.2765202027538262,false
wrong,25,1,13.2,-1.1285536839298718,-0.2784577285293467,false
wrong,25,1,13.3,-1.120406440962252,-0.28030669325752317,false
wrong,25,1,13.4,-1.1121849201715701,-0.2820670820587764,false
wrong,25,1,13.5,-1.1038853225629652,-0.28373884635175595,false
wrong,25,1,13.6,-1.095503613995887,-0.2853219020233285,false
wrong,25,1,13.7,-1.087035506782798,-0.28681612745054086,false
wrong,25,1,13.8,-1.0784764395697062,-0.28822136136066684,false
wrong,25,1,13.9,-1.0698215553127375,-0.2895374005139407,false
wrong,25,1,14.0,-1.0610656771421798,-0.2907639971918858,false
wrong,25,1,14.1,-1.0522032818795324,-0.29190085647224584,false
wrong,25,1,14.2,-1.0432284709436084,-0.2929476332693835,false
wrong,25,1,14.3,-1.0341349383481313,-0.2939039291165948,false
wrong,25,1,14.4,-1.0249159354548822,-0.29476928866406243,false
wrong,25,1,14.5,-1.0155642321025795,-0.29554319586308625,false
wrong,25,1,14.6,-1.0060720736814102,-0.2962250698037384,false
wrong,25,1,14.7,-0.9964311336655046,-0.2968142601691307,false
wrong,25,1,14.8,-0.9866324610494411,-0.2973100422649838,false
