t,v,w,J11_prefix,J12_prefix,J21_prefix,J22_prefix,J11_fixed,J12_fixed,J21_fixed,J22_fixed,J11_exact,eig_re1_prefix,eig_im1_prefix,eig_re2_prefix,eig_im2_prefix,eig_re1_fixed,eig_im1_fixed,eig_re2_fixed,eig_im2_fixed,trace_prefix,trace_fixed,det_prefix,det_fixed
86.75,-1.4954450574429299,0.06457481130922796,1.0,-1.0,0.08,-0.064,-1.2363559198304879,-1.0,0.08,-0.064,-1.2363559198304879,0.91858184606129,0.0,0.017418153938710032,0.0,-0.1367535733787284,0.0,-1.1636023464517595,0.0,0.9359999999999999,-1.300355919830488,0.016,0.15912677886915122
87.0,-1.4817519992639923,0.047903724448870894,1.0,-1.0,0.08,-0.064,-1.195588987322838,-1.0,0.08,-0.064,-1.195588987322838,0.91858184606129,0.0,0.017418153938710032,0.0,-0.13977060745016345,0.0,-1.1198183798726746,0.0,0.9359999999999999,-1.259588987322838,0.016,0.15651769518866163
87.25,-1.4680522288792883,0.03176899632115188,1.0,-1.0,0.08,-0.064,-1.1551773467174464,-1.0,0.08,-0.064,-1.1551773467174464,0.91858184606129,0.0,0.017418153938710032,0.0,-0.1430407117327704,0.0,-1.076136634984676,0.0,0.9359999999999999,-1.2191773467174465,0.016,0.15393135018991658
87.5,-1.4543427732221608,0.016162275931983248,1.0,-1.0,0.08,-0.064,-1.115112902023525,-1.0,0.08,-0.064,-1.115112902023525,0.91858184606129,0.0,0.017418153938710032,0.0,-0.14660094173337107,0.0,-1.032511960290154,0.0,0.9359999999999999,-1.1791129020235251,0.016,0.15136722572950562
87.75,-1.4406204744423676,0.0010754056390645064,1.0,-1.0,0.08,-0.064,-1.0753873513825525,-1.0,0.08,-0.064,-1.0753873513825525,0.91858184606129,0.0,0.017418153938710032,0.0,-0.1504967128752825,0.0,-0.98889063850727,0.0,0.9359999999999999,-1.1393873513825525,0.016,0.14882479048848338
88.0,-1.4268819726237472,-0.013499578082045575,1.0,-1.0,0.08,-0.064,-1.0359921637986358,-1.0,0.08,-0.064,-1.0359921637986358,0.91858184606129,0.0,0.017418153938710032,0.0,-0.15478450360044202,0.0,-0.9452076601981938,0.0,0.9359999999999999,-1.0999921637986358,0.016,0.1463034984831127
88.25,-1.4131236865112853,-0.02757044352173982,1.0,-1.0,0.08,-0.064,-0.9969185533792451,-1.0,0.08,-0.064,-0.9969185533792451,0.91858184606129,0.0,0.017418153938710032,0.0,-0.1595357578750213,0.0,-0.9013827955042237,0.0,0.9359999999999999,-1.0609185533792451,0.016,0.1438027874162717
88.5,-1.399341791973996,-0.04114476223346386,1.0,-1.0,0.08,-0.064,-0.9581574507649944,-1.0,0.08,-0.064,-0.9581574507649944,0.91858184606129,0.0,0.017418153938710032,0.0,-0.16484269795375267,0.0,-0.8573147528112417,0.0,0.9359999999999999,-1.0221574507649944,0.016,0.14132207684895964
88.75,-1.38553219788627,-0.05422990710224426,1.0,-1.0,0.08,-0.064,-0.9196994713795581,-1.0,0.08,-0.064,-0.9196994713795581,0.91858184606129,0.0,0.017418153938710032,0.0,-0.17082731228322978,0.0,-0.8128721590963284,0.0,0.9359999999999999,-0.9836994713795582,0.016,0.13886076616829174
89.0,-1.3716905190586117,-0.06683304993664814,1.0,-1.0,0.08,-0.064,-0.8815348800752834,-1.0,0.08,-0.064,-0.8815348800752834,0.91858184606129,0.0,0.017418153938710032,0.0,-0.17765590174249646,0.0,-0.7678789783327868,0.0,0.9359999999999999,-0.9455348800752834,0.016,0.13641823232481817
