seed,kappa_from,kappa_to,s,J_next,J_prev
2,10,12,0.9,0.016150590391147242,0.018977553551554418
2,10,12,0.95,0.015587198817127506,0.01946998024474155
2,10,12,1.0,0.01539635484065379,0.019981199082476073
2,12,15,0.0,0.028919294298738955,0.01539635484065379
2,12,15,0.05,0.027454029452907636,0.015459840814209369
2,12,15,0.1,0.02606141847406981,0.015651892594485656
2,12,15,0.15,0.024743431151015304,0.015968083347189445
2,12,15,0.2,0.023501851954847382,0.016404614009711917
2,12,15,0.25,0.02233821570304438,0.01695822857575248
2,12,15,0.3,0.021253753284399136,0.017626090093163606
2,12,15,0.35,0.020249350047728723,0.01840563412123826
2,12,15,0.4,0.01932551860431165,0.019294416234483476
2,12,15,0.45,0.01848238694413904,0.02028996877183052
2,12,15,0.5,0.017719702332742684,0.02138968015339032
2,12,15,0.55,0.017036852452133083,0.02259070897570655
2,12,15,0.6,0.016432910411599267,0.023889947661883203
2,12,15,0.65,0.015906726147973036,0.02528406340184071
2,12,15,0.7,0.01545711803386714,0.026769672306826486
2,12,15,0.75,0.015083182530588529,0.028343663631318492
2,12,15,0.8,0.01478425090569645,0.03000319925576014
2,12,15,0.85,0.014558691837535578,0.03174458106040326
2,12,15,0.9,0.01440334008552938,0.033562758490587395
2,12,15,0.95,0.014314863181556843,0.03545277951890176
2,12,15,1.0,0.014290534446698842,0.03741064454643203
2,15,20,0.0,0.021829140320889957,0.014290534446698842
2,15,20,0.05,0.021057916360833467,0.014502269676180488
2,15,20,0.1,0.020330938457919966,0.015141734753770026
2,15,20,0.15,0.01964745839882917,0.016178960649425818
2,15,20,0.2,0.01900683326323955,0.0175837868382716
2,15,20,0.25,0.018408533045052404,0.019322087660318073
2,15,20,0.3,0.017852139996747396,0.02135458797559499
2,15,20,0.35,0.017337311994414246,0.0236383085110876
2,15,20,0.4,0.016863688305885832,0.026129701724290327
2,15,20,0.45,0.01643078063986972,0.028788198918593126
2,15,20,0.5,0.016037949506182522,0.031579100849474996
2,15,20,0.55,0.015684487267438797,0.03447517016672437
2,15,20,0.6,0.015369716023017198,0.03745674457192848
2,15,20,0.65,0.015093031510748842,0.040510636360772144
2,15,20,0.7,0.014853901015716278,0.04362834934042798
2,15,20,0.75,0.014651845738784836,0.04680415172705523
2,15,20,0.8,0.014486425501011342,0.05003339855826227
2,15,20,0.85,0.01435723512079341,0.053311321293167624
2,15,20,0.9,0.014263940462767468,0.056632372263376446
2,15,20,0.95,0.014206505160235486,0.059990227908409896
2,15,20,1.0,0.01418615494027249,0.06337888903729257
2,20,25,0.0,0.03976549075305341,0.01418615494027249
2,20,25,0.05,0.03671938217739955,0.014203189878544749
2,20,25,0.1,0.033922659689498244,0.01425240993934741
2,20,25,0.15,0.03136520304269803,0.014333305146613701
2,20,25,0.2,0.029035350887508526,0.014445356571677857
2,20,25,0.25,0.02692029481426484,0.014588039365414055
2,20,25,0.3,0.025006673332164123,0.014760825694554449
2,20,25,0.35,0.023281212247194594,0.01496318763702141
2,20,25,0.4,0.02173129048912409,0.015194600093463292
2,20,25,0.45,0.02034535533346546,0.01545454375588876
2,20,25,0.5,0.019113156086271003,0.015742508155274285
2,20,25,0.55,0.018025802171089747,0.016057994796443396
2,20,25,0.6,0.017075676182416857,0.01640052036549588
2,20,25,0.65,0.01625624467643859,0.016769619898558394
2,20,25,0.7,0.015561811441986088,0.01716484950000626
2,20,25,0.75,0.014987252835807947,0.01758578756420206
2,20,25,0.8,0.014527765696093969,0.01803203263687878
2,20,25,0.85,0.014178648616714626,0.018503195928823327
2,20,25,0.9,0.013935130056576938,0.01899888857919523
2,20,25,0.95,0.01379225305576132,0.019518708335559916
2,20,25,1.0,0.013744823137691629,0.020062233832954822
2,25,33,0.0,0.03275716738066875,0.013744823137691629
2,25,33,0.05,0.03108995770781644,0.013779326963464712
2,25,33,0.1,0.029492656610130057,0.01389577002525577
2,25,33,0.15,0.027965273397733765,0.014092008626761656
2,25,33,0.2,0.02650805793895731,0.014365860000938818
2,25,33,0.25,0.025121530351728087,0.014715133292519715
2,25,33,0.3,0.02380650660301862,0.015137659705296302
2,25,33,0.35,0.02256411929661111,0.01563132124125651
2,25,33,0.4,0.021395832905619864,0.016194077551961936
2,25,33,0.45,0.02030345269436759,0.01682399049569215
2,25,33,0.5,0.019289126589442828,0.01751924604743463
2,25,33,0.55,0.018355339318233455,0.018278173245516137
2,25,33,0.6,0.01750489825089379,0.01909925988310974
2,25,33,0.65,0.016740910572604864,0.019981164670850513
