exp,arm,seed,mode,optimizer,iters,gamma,S,penalty,noise,schedule,radius,n_steps,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,8,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002548694610595703,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,10,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002689361572265625,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,12,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026988983154296875,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,15,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00033783912658691406,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,20,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026917457580566406,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,25,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026988983154296875,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,33,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028204917907714844,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,50,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00027108192443847656,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,75,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002739429473876953,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,100,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002741813659667969,1,0,true,true,1.840755564960906
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,1,0.01679445398897462,0.1776514306956582,0.85,0.5714285714285714,0,2.077522039413452,158,56,true,false,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,2,0.019992227997329987,0.22486558342071514,0.9,0.7142857142857143,1,1.943532943725586,162,54,true,false,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,3,1000.0,1.6514587340395241,0.3,0.42857142857142855,8,0.0038688182830810547,1,0,true,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,4,1000.0,1.6514587340395241,0.3,0.42857142857142855,8,0.0034210681915283203,1,0,true,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,5,1000.0,1.6514587340395241,0.3,0.42857142857142855,8,0.008991003036499023,1,0,true,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,6,1000.0,1.6514587340395241,0.3,0.42857142857142855,8,0.0032711029052734375,1,0,true,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,8,1000.0,1.6514587340395241,0.3,0.42857142857142855,8,0.0036499500274658203,1,0,true,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,10,0.013514631055695987,0.20380540957979446,0.85,0.7142857142857143,1,6.072958946228027,525,151,true,false,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,12,1000.0,1.6514587340395241,0.3,0.42857142857142855,8,0.0033910274505615234,1,0,true,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,15,0.013177868052036796,0.13916628734322356,0.9,0.8571428571428571,0,21.25668501853943,1671,581,true,false,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,20,0.013404347464546008,0.13984858062901176,0.85,0.7142857142857143,0,22.50540018081665,1804,597,true,false,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,25,1000.0,1.6514587340395241,0.3,0.42857142857142855,8,0.004799842834472656,1,0,true,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,33,1000.0,2.5341301483033316,0.05,1.0,12,30.443608045578003,2407,828,false,true,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,50,0.012401861154672001,0.2144025602364679,0.95,0.7142857142857143,0,53.013932943344116,4086,1444,true,false,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,75,0.01217004725654134,0.19041209855812583,0.95,0.7142857142857143,0,67.48370599746704,5195,1821,true,false,1.6514587340395241
optimizer,bfgs_reset,5,reset,bfgs,2500,0.05,10,flat,0.05,full,nan,16,100,0.012192049064133306,0.20533789977631073,0.95,0.7142857142857143,0,27.106330156326294,2129,733,true,false,1.6514587340395241
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,1,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.006721019744873047,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,2,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026798248291015625,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,3,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002570152282714844,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,4,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002560615539550781,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,5,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00025916099548339844,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,6,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00025582313537597656,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,8,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002570152282714844,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,10,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00025391578674316406,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,12,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002551078796386719,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,15,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002570152282714844,1,0,true,true,1.840755564960906
optimizer,lbfgs_reset,1,reset,lbfgs,2500,0.05,10,flat,0.05,full,nan,16,20,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028896331787109375,1,0,true,true,1.840755564960906
