window_size,dp_x2,dp_xy,J
1,-0.6,-0.335625,2.031534537046705
1,-0.6,-0.32125,2.00548856287067
1,-0.6,-0.306875,1.9794886154492277
1,-0.6,-0.2925,1.9535380590427975
1,-0.6,-0.278125,1.9276403330574814
1,-0.6,-0.26375,1.9017989534719961
1,-0.6,-0.249375,1.876017514289878
1,-0.6,-0.235,1.8502996890173966
1,-0.6,-0.220625,1.8246492321676038
1,-0.6,-0.20625,1.799069980790972
1,-0.6,-0.191875,1.7735658560330638
1,-0.6,-0.1775,1.7481408647196588
1,-0.6,-0.163125,1.7227991009698782
1,-0.6,-0.14875,1.6975447478376702
1,-0.6,-0.134375,1.6723820789822406
1,-0.6,-0.12,1.6473154603678477
1,-0.6,-0.105625,1.6223493519934655
1,-0.6,-0.09125,1.5974883096528492
1,-0.6,-0.076875,1.5727369867254815
1,-0.6,-0.0625,1.5481001359989393
1,-0.6,-0.048125,1.5235826115231934
1,-0.6,-0.03375,1.4991893704974055
1,-0.6,-0.019375,1.4749254751897283
1,-0.6,-0.005,1.450796094890716
1,-0.6,0.009375,1.4268065079008592
1,-0.6,0.02375,1.402962103552864
1,-0.6,0.038125,1.379268384269231
1,-0.6,0.0525,1.3557309676557359
1,-0.6,0.066875,1.3323555886314327
1,-0.6,0.08125,1.309148101595767
1,-0.6,0.095625,1.2861144826334598
1,-0.6,0.11,1.2632608317577683
1,-0.6,0.124375,1.2405933751927827
1,-0.6,0.13875,1.2181184676954342
1,-0.6,0.153125,1.1958425949178673
1,-0.6,0.1675,1.1737723758108518
1,-0.6,0.181875,1.1519145650689635
1,-0.6,0.19625,1.1302760556182074
1,-0.6,0.210625,1.1088638811468134
1,-0.6,0.225,1.087685218679948
1,-0.6,0.239375,1.0667473911990752
1,-0.6,0.25375,1.046057870306729
1,-0.6,0.268125,1.0256242789374763
1,-0.6,0.2825,1.0054543941158487
1,-0.6,0.296875,0.9855561497620464
1,-0.6,0.31125,0.9659376395462371
1,-0.6,0.325625,0.9466071197922763
1,-0.6,0.34,0.9275730124316814
1,-0.6,0.354375,0.9088439080087564
1,-0.6,0.36875,0.8904285687376979
1,-0.6,0.383125,0.87233593161262
1,-0.6,0.3975,0.8545751115713843
1,-0.6,0.411875,0.8371554047141637
1,-0.6,0.42625,0.8200862915776995
1,-0.6,0.440625,0.8033774404662003
1,-0.6,0.455,0.7870387108398753
1,-0.6,0.469375,0.7710801567658137
1,-0.6,0.48375,0.7555120353395229
1,-0.6,0.498125,0.7403502932597567
1,-0.6,0.5125,0.7256932803798877
1,-0.6,0.526875,0.7114797447613138
1,-0.6,0.54125,0.6976997310351606
1,-0.6,0.555625,0.6843645046182529
1,-0.6,0.57,0.6714855834366606
1,-0.6,0.584375,0.6590747098585655
1,-0.6,0.59875,0.6471438546932621
1,-0.6,0.613125,0.6357052212841504
1,-0.6,0.6275,0.6247712496727728
1,-0.6,0.641875,0.6143546208351491
1,-0.6,0.65625,0.6044682609917016
1,-0.6,0.670625,0.5951253459920791
1,-0.6,0.685,0.5863393057762497
1,-0.6,0.699375,0.5781238289132198
1,-0.6,0.71375,0.570492867218789
1,-0.6,0.728125,0.5634606404537856
1,-0.6,0.7425,0.5570416411042332
1,-0.6,0.756875,0.5512506392449622
1,-0.6,0.77125,0.5461026874881773
1,-0.6,0.785625,0.5416131260185629
1,-0.6,0.8,0.537797587716507
1,-0.5925,-1.5,4.076113734184539
1,-0.5925,-1.485625,4.0526296692872945
1,-0.5925,-1.47125,4.0290750348681375
1,-0.5925,-1.456875,4.005450169126133
1,-0.5925,-1.4425,3.9817554252305674
1,-0.5925,-1.428125,3.957991171650258
1,-0.5925,-1.41375,3.9341577924892186
1,-0.5925,-1.399375,3.9102556878287804
1,-0.5925,-1.385,3.8862852740763114
1,-0.5925,-1.370625,3.862246984320607
1,-0.5925,-1.35625,3.838141268694166
1,-0.5925,-1.341875,3.813968594742361
