plane,window_size,f_blow,basin,J_min,J_max
v3_v2,1,0.3367374361730717,0.01263101316850309,0.01773109828394226,421.0335076872523
v3_v2,2,0.34238108035474335,0.010212308519215264,0.020915482849303117,467.3684819643629
v3_v2,3,0.3437248051599032,0.007256113947863478,0.021600168216777987,481.6145761802545
v3_v2,4,0.34399355012093524,0.004837409298575652,0.018745303613809015,857.6285127180028
v3_v2,5,0.34426229508196726,0.0034936844934157483,0.020895430727674334,221.36913740374553
v3_v2,6,0.34426229508196726,0.006181134103735555,0.07136489148266649,231.25895233880982
v3_v2,8,0.34426229508196726,0.0016124697661918839,0.022962069289866327,256.18728716056944
v3_v2,10,0.34426229508196726,0.0013437248051599033,0.01543365226590483,282.42656794581166
v3_v2,12,0.34426229508196726,0.0018812147272238647,0.02214935682868552,257.0041374976867
v3_v2,15,0.34426229508196726,0.0010749798441279225,0.017982285097986803,298.1805254250505
v3_v2,20,0.34426229508196726,0.007524858908895459,0.01921919043197555,353.76782427957966
v3_v2,25,0.34426229508196726,0.0008062348830959419,0.014443610769901643,399.12988314912815
v3_v2,33,0.34426229508196726,0.0026874496103198066,0.021844397661316947,437.9088942641201
v3_v2,50,0.34426229508196726,0.0010749798441279225,0.016229672943782657,582.6828128913012
v3_v2,75,0.34426229508196726,0.0018812147272238647,0.016796329228972662,582.5311459148876
v3_v2,100,0.34426229508196726,0.002149959688255845,0.017576201469118733,661.282274789979
w_v,1,0.0,0.012899758129535071,0.01773109828394226,2.2064986394042645
w_v,2,0.0,0.006181134103735555,0.020915482849303117,2.7713300304955073
w_v,3,0.0,0.00403117441547971,0.021823148670987533,4.000812671762321
w_v,4,0.0,0.0016124697661918839,0.018745303613809015,4.156596652094443
w_v,5,0.0,0.0018812147272238647,0.020895430727674334,5.602965864532485
w_v,6,0.0,0.0018812147272238647,0.0659221796346936,5.656412717139251
w_v,8,0.0,0.0005374899220639613,0.022962069289866327,5.479203324814509
w_v,10,0.0,0.0005374899220639613,0.01543365226590483,7.942530020088189
w_v,12,0.0,0.0002687449610319806,0.0235231831415469,10.31950543496427
w_v,15,0.0,0.0005374899220639613,0.02224764669442469,13.157709981597687
w_v,20,0.0,0.0013437248051599033,0.01940981575471948,9.239566214369125
w_v,25,0.0,0.0005374899220639613,0.020700188701984125,17.369732386564298
w_v,33,0.0,0.0008062348830959419,0.02275075821180186,20.48135248393148
w_v,50,0.0,0.0005374899220639613,0.02728570980472099,12.037102839720003
w_v,75,0.0,0.0013437248051599033,0.016796329228972662,18.355312466250357
w_v,100,0.0,0.0010749798441279225,0.017576201469118733,18.221649911465736
c_w,1,0.0,0.01263101316850309,0.01773109828394226,2.7933141331919678
c_w,2,0.0,0.00429991937651169,0.020915482849303117,6.235689771150831
