window_size,dp_v,dp_v3,J
1,-1.275,0.6375,1000.0
1,-1.275,0.675,1000.0
1,-1.275,0.7125,1000.0
1,-1.275,0.75,1000.0
1,-1.275,0.7875,1000.0
1,-1.275,0.825,1000.0
1,-1.275,0.8625,1000.0
1,-1.275,0.9,1000.0
1,-1.275,0.9375,1000.0
1,-1.275,0.975,1000.0
1,-1.275,1.0125,1000.0
1,-1.275,1.05,1000.0
1,-1.275,1.0875,1000.0
1,-1.275,1.125,1000.0
1,-1.275,1.1625,1000.0
1,-1.275,1.2,1000.0
1,-1.275,1.2375,1000.0
1,-1.275,1.275,1000.0
1,-1.275,1.3125,1000.0
1,-1.275,1.35,1000.0
1,-1.275,1.3875,1000.0
1,-1.275,1.425,1000.0
1,-1.275,1.4625,1000.0
1,-1.275,1.5,1000.0
1,-1.2375,-1.5,1.2863167303822245
1,-1.2375,-1.4625,1.2793093058364895
1,-1.2375,-1.425,1.2721041223758176
1,-1.2375,-1.3875,1.2647002680607944
1,-1.2375,-1.35,1.2570943015111067
1,-1.2375,-1.3125,1.2492813925857957
1,-1.2375,-1.275,1.2412558145472707
1,-1.2375,-1.2375,1.2330111463425213
1,-1.2375,-1.2,1.224540344070003
1,-1.2375,-1.1625,1.2158357489493026
1,-1.2375,-1.125,1.2068890607985914
1,-1.2375,-1.0875,1.1976912901487866
1,-1.2375,-1.05,1.188232695348242
1,-1.2375,-1.0125,1.1785027079442219
1,-1.2375,-0.975,1.168489848081383
1,-1.2375,-0.9375,1.158181630728139
1,-1.2375,-0.9,1.14756446284862
1,-1.2375,-0.8625,1.1366235310248574
1,-1.2375,-0.825,1.1253426784420133
1,-1.2375,-0.7875,1.1137042695609383
1,-1.2375,-0.75,1.101689040211832
1,-1.2375,-0.7125,1.08927593024419
1,-1.2375,-0.675,1.0764418952488668
1,-1.2375,-0.6375,1.0631616932070302
1,-1.2375,-0.6,1.049407641189314
1,-1.2375,-0.5625,1.035149336391867
1,-1.2375,-0.525,1.0203533348146865
1,-1.2375,-0.4875,1.0049827797192648
1,-1.2375,-0.45,0.9889969706038655
1,-1.2375,-0.4125,0.9723508617655835
1,-1.2375,-0.375,0.9549944775495606
1,-1.2375,-0.3375,0.9368722291154046
1,-1.2375,-0.3,0.9179221150357398
1,-1.2375,-0.2625,0.8980747854600551
