window_size,dp_xy_x,dp_xy_y,J
1,-0.9625,-0.41,1.169116168205167
1,-0.9625,-0.4,1.1679389617569302
1,-0.9625,-0.39,1.1669621147120917
1,-0.9625,-0.38,1.1661890796763448
1,-0.9625,-0.37,1.165623344209428
1,-0.9625,-0.36,1.1652684308278323
1,-0.9625,-0.35,1.1651278969993344
1,-0.9625,-0.34,1.1652053351292586
1,-0.9625,-0.33,1.1655043725431944
1,-0.9625,-0.32,1.1660286721877455
1,-0.9625,-0.31,1.1667820407809504
1,-0.9625,-0.3,1.1677794291203631
1,-0.9625,-0.29,1.1690737267003684
1,-0.9625,-0.28,1.170619611873767
1,-0.9625,-0.27,1.1724097015486692
1,-0.9625,-0.26,1.174447756429418
1,-0.9625,-0.25,1.1767376805663305
1,-0.9625,-0.24,1.1792834130623904
1,-0.9625,-0.23,1.1820889272287474
1,-0.9625,-0.22,1.1851582304571222
1,-0.9625,-0.21,1.188495364087322
1,-0.9625,-0.2,1.1921044032649473
1,-0.9625,-0.19,1.195989456789135
1,-0.9625,-0.18,1.2001546669502736
1,-0.9625,-0.17,1.2046042093575988
1,-0.9625,-0.16,1.2093422927565889
1,-0.9625,-0.15,1.214373158836092
1,-0.9625,-0.14,1.2197010820251193
1,-0.9625,-0.13,1.225330369279214
1,-0.9625,-0.12,1.2312653598563672
1,-0.9625,-0.11,1.237510425082391
1,-0.9625,-0.1,1.2440699681057252
1,-0.9625,-0.09,1.2509484236415969
1,-0.9625,-0.08,1.2581502577055212
1,-0.9625,-0.07,1.2656799673360646
1,-0.9625,-0.06,1.2735420803068893
1,-0.9625,-0.05,1.2817411548279831
1,-0.9625,-0.04,1.2902817792361185
1,-0.9625,-0.03,1.2991685716744574
1,-0.9625,-0.02,1.3084061797613264
1,-0.9625,-0.01,1.3179992802481486
1,-0.9625,0.0,1.3279525786665227
1,-0.9625,0.01,1.338270808964428
1,-0.9625,0.02,1.3489587331316126
1,-0.9625,0.03,1.3600211408141265
1,-0.9625,0.04,1.3714628489180483
1,-0.9625,0.05,1.383288701202415
1,-0.9625,0.06,1.3955035678613918
1,-0.9625,0.07,1.408112345095716
1,-0.9625,0.08,1.4211199546734432
1,-0.9625,0.09,1.4345313434800628
1,-0.9625,0.1,1.4483514830580244
1,-0.9625,0.11,1.4625853691357273
1,-0.9625,0.12,1.4772380211460607
1,-0.9625,0.13,1.4923144817345355
1,-0.9625,0.14,1.5078198162571013
1,-0.9625,0.15,1.5237591122677425
