system,arm,seed,optimizer,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
lorenz,propagate,2,nm,100,0.26063063034785744,16.703869992896827,0.3333333333333333,1.0,15,5.8947789669036865,5825,4000,false,false,32.463682339725175
lorenz,propagate,4,nm,1,0.6914408322513675,28.727608170049177,0.03333333333333333,1.0,22,4.828144788742065,4759,4000,false,false,32.34822048257865
lorenz,propagate,4,nm,2,0.22063984622703237,16.018242920146424,0.23333333333333334,1.0,18,4.824550151824951,4769,4000,false,false,32.34822048257865
lorenz,propagate,4,nm,5,0.23537310966665959,13.360882725642975,0.23333333333333334,1.0,18,5.0343968868255615,4932,4000,false,false,32.34822048257865
lorenz,propagate,4,nm,10,0.2303920019051288,12.095935133119044,0.23333333333333334,1.0,18,5.202656030654907,5121,4000,false,false,32.34822048257865
lorenz,propagate,4,nm,25,0.22507429296375994,12.12006115614783,0.23333333333333334,1.0,19,5.105262994766235,5038,4000,false,false,32.34822048257865
lorenz,propagate,4,nm,50,0.20350754641491103,12.130546113296312,0.26666666666666666,1.0,18,5.41404390335083,5086,4000,false,false,32.34822048257865
lorenz,propagate,4,nm,100,0.20396025512599686,12.083912962786476,0.26666666666666666,1.0,18,6.297869920730591,5542,4000,false,false,32.34822048257865
lorenz,reset,2,nm,1,0.5603208120439532,27.81045305568838,0.1,0.8571428571428571,20,5.262797117233276,4990,4000,false,false,32.463682339725175
lorenz,reset,2,nm,2,1.3568223969322233,28.901689628337618,0.13333333333333333,0.8571428571428571,19,5.026586055755615,4887,4000,false,false,32.463682339725175
lorenz,reset,2,nm,5,1000.0,32.463682339725175,0.0,1.0,23,0.003667116165161133,35,0,true,true,32.463682339725175
lorenz,reset,2,nm,10,1000.0,32.463682339725175,0.0,1.0,23,0.0035331249237060547,35,0,true,true,32.463682339725175
lorenz,reset,2,nm,25,1000.0,32.463682339725175,0.0,1.0,23,0.004058837890625,35,0,true,true,32.463682339725175
lorenz,reset,2,nm,50,1000.0,32.463682339725175,0.0,1.0,23,0.004002809524536133,35,0,true,true,32.463682339725175
