system,arm,seed,optimizer,window_size,index,value
lorenz,propagate,3,nm,100,25,-3.396703036823236
lorenz,propagate,3,nm,100,26,0.03134803417676855
lorenz,propagate,3,nm,100,27,1.107681489033914
lorenz,propagate,3,nm,100,28,-0.040371162391514934
lorenz,propagate,3,nm,100,29,-0.08077528116660987
lorenz,propagate,3,nm,100,30,-1.097752973724337
lorenz,propagate,3,nm,100,31,0.03558920764721628
lorenz,propagate,3,nm,100,32,1.2958000613663636
lorenz,propagate,3,nm,100,33,-0.2668888252483932
lorenz,reset,1,nm,1,1,-12.600442642880319
lorenz,reset,1,nm,1,2,-20.723330310176227
lorenz,reset,1,nm,1,3,20.744107425899713
lorenz,reset,1,nm,1,4,-0.09906268723679018
lorenz,reset,1,nm,1,5,0.08505089554896147
lorenz,reset,1,nm,1,6,0.0015959529814040807
lorenz,reset,1,nm,1,7,-1.3416736707458745
lorenz,reset,1,nm,1,8,0.2983916764666189
lorenz,reset,1,nm,1,9,0.025918641295636397
lorenz,reset,1,nm,1,10,-0.48680880394406106
lorenz,reset,1,nm,1,11,-0.2101535851220854
lorenz,reset,1,nm,1,12,0.10187205187887081
lorenz,reset,1,nm,1,13,-0.13851613317541075
lorenz,reset,1,nm,1,14,0.5519491061082248
lorenz,reset,1,nm,1,15,2.2448711524798637
lorenz,reset,1,nm,1,16,-0.051208795447536794
lorenz,reset,1,nm,1,17,12.283479395257412
lorenz,reset,1,nm,1,18,-0.3549302742941001
lorenz,reset,1,nm,1,19,-0.03137729144155338
lorenz,reset,1,nm,1,20,2.06848046648082
lorenz,reset,1,nm,1,21,-0.305485932793305
lorenz,reset,1,nm,1,22,0.05846095478259218
lorenz,reset,1,nm,1,23,-0.10041682502696725
lorenz,reset,1,nm,1,24,-5.427116216294649
lorenz,reset,1,nm,1,25,0.32952238361882824
lorenz,reset,1,nm,1,26,-0.11328035319624036
lorenz,reset,1,nm,1,27,-4.040096783876914
lorenz,reset,1,nm,1,28,0.13522484114429706
lorenz,reset,1,nm,1,29,0.1286506879297439
lorenz,reset,1,nm,1,30,-0.12662670230744452
lorenz,reset,1,nm,1,31,-0.005092681871282209
lorenz,reset,1,nm,1,32,0.5518377549048337
lorenz,reset,1,nm,1,33,0.5090948386877785
lorenz,reset,1,nm,2,1,-12.860000935427522
lorenz,reset,1,nm,2,2,-20.55845957911774
lorenz,reset,1,nm,2,3,20.855106229850513
lorenz,reset,1,nm,2,4,-0.17276212402116406
lorenz,reset,1,nm,2,5,-0.00764703069901914
lorenz,reset,1,nm,2,6,-0.016547359661358674
lorenz,reset,1,nm,2,7,-3.6735753365033825
lorenz,reset,1,nm,2,8,0.3554873025137571
lorenz,reset,1,nm,2,9,0.1627222381003109
lorenz,reset,1,nm,2,10,-1.3531915613424605
lorenz,reset,1,nm,2,11,-0.14086478582609088
lorenz,reset,1,nm,2,12,-0.30225056425860786
lorenz,reset,1,nm,2,13,0.25711823376377146
lorenz,reset,1,nm,2,14,-0.750228006050627
lorenz,reset,1,nm,2,15,1.9456590210089548
lorenz,reset,1,nm,2,16,-0.03676910228657241
