window_size,dp_w,dp_wv,J
1,-1.35,-0.5,1.2023373163308217
1,-1.35,-0.4875,1.168819196158684
1,-1.35,-0.475,1.136533539439377
1,-1.35,-0.4625,1.1054696277140388
1,-1.35,-0.45,1.0756167752246792
1,-1.35,-0.4375,1.0469643289749302
1,-1.35,-0.425,1.0195016687855665
1,-1.35,-0.4125,0.9932182073445748
1,-1.35,-0.4,0.9681033902515574
1,-1.35,-0.3875,0.9441466960562812
1,-1.35,-0.375,0.9213376362911613
1,-1.35,-0.3625,0.8996657554974884
1,-1.35,-0.35,0.8791206312452112
1,-1.35,-0.3375,0.8596918741460937
1,-1.35,-0.325,0.8413691278600743
1,-1.35,-0.3125,0.8241420690946655
1,-1.35,-0.3,0.8080004075972291
1,-1.35,-0.2875,0.7929338861399934
1,-1.35,-0.275,0.7789322804976666
1,-1.35,-0.2625,0.7659853994175297
1,-1.35,-0.25,0.7540830845818919
1,-1.35,-0.2375,0.7432152105628111
1,-1.35,-0.225,0.7333716847689906
1,-1.35,-0.2125,0.7245424473847805
1,-1.35,-0.2,0.7167174713012222
1,-1.35,-0.1875,0.7098867620390947
1,-1.35,-0.175,0.7040403576639318
1,-1.35,-0.1625,0.6991683286929914
1,-1.35,-0.15,0.6952607779941954
1,-1.35,-0.1375,0.6923078406770362
1,-1.35,-0.125,0.6902996839755057
1,-1.35,-0.1125,0.6892265071239569
1,-1.35,-0.1,0.6890785416738575
1,-1.35,-0.0875,0.6898462815465919
1,-1.35,-0.075,0.6915451140404091
1,-1.35,-0.0625,0.6941761967832668
1,-1.35,-0.05,0.6976945163462522
1,-1.35,-0.0375,0.7020896767484675
1,-1.35,-0.025,0.7073520954972202
1,-1.35,-0.0125,0.7134722223981562
1,-1.35,0.0,0.7204405377949132
1,-1.35,0.0125,0.7282475523685934
1,-1.35,0.025,0.7368838069340721
1,-1.35,0.0375,0.7463398722304201
1,-1.35,0.05,0.7566063487057066
1,-1.35,0.0625,0.7676738662964807
1,-1.35,0.075,0.7795330842022652
1,-1.35,0.0875,0.7921746906553856
1,-1.35,0.1,0.8055894026864838
1,-1.35,0.1125,0.8197679658861019
1,-1.35,0.125,0.834701154162692
1,-1.35,0.1375,0.8503797694974634
1,-1.35,0.15,0.8667946416964898
1,-1.35,0.1625,0.8839366281404667
1,-1.35,0.175,0.9017966135325869
1,-1.35,0.1875,0.9203655096449758
1,-1.35,0.2,0.9396342550641308
1,-1.35,0.2125,0.9595938149358711
1,-1.35,0.225,0.9802351807102405
1,-1.35,0.2375,1.0015493698868803
